"Timestamp","1) What is your gender? ","2) What is your marital status? ","3) In which region are you located? ","4) Did you get your bachelor degree in Saudi or Abroad?","5) If you have a master's degree, did you study in Saudi or Abroad? If not applicable, please choose N/A.","6) Have you ever studied in a mixed-sex university? ","7) After you spend a long day, how do you gain energy? ","8) The people who know you best are more likely to describe you as someone who is:","9) Do you think that household chores should be equally divided between men and women? [Choose:]","10) Do you prefer working in a single-sex work environment or mixed-sex work environment? ","11) In your previous work/internship experience: how comfortable did you feel talking to members of the opposite gender?  [Choose:]","12) If someone from the opposite gender has the information you need at work, how likely will you ask for the information?  [Choose:]","13) How likely are you willing to work on a project with someone from the opposite gender? [Choose:]","14) If you studied abroad, can you identify any event that influenced your views about gender?","15) Are you with or against mixed-sex universities in Saudi? ","16) What do you think about having mixed-sex universities in Saudi? Please list three reasons why or why not."
"2020/12/03 11:57:47 PM GMT+3","Male","Single","Center","Saudi","N/A","No, neither","Going out with friends","Quiet and reflective","3: Agree","Single-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","","Against mixed-sex universities","create distractions, Not in line with the islamic rules"
"2020/12/04 12:33:54 AM GMT+3","Male","Single","Western","Saudi","N/A","Yes, undergrad","Inner reflection and solitude","Outgoing and talkative","4: Strongly agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","Against mixed-sex universities","1- university student tend to be immature 
2- I’m with partially mix
3- not applicable in very city yet "
"2020/12/04 1:16:01 AM GMT+3","Male","Single","Western","Abroad","N/A","Yes, undergrad","Inner reflection and solitude","Outgoing and talkative","4: Strongly agree","Single-sex work environment","4: Very comfortable","4: Highly likely","2: Unlikely","","Against mixed-sex universities","N\A"
"2020/12/04 2:13:59 AM GMT+3","Male","Single","Eastern","Abroad","N/A","Yes, undergrad","Going out with friends","Outgoing and talkative","2: Disagree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","I think we have to interact with the opposite gender in or outside universities "
"2020/12/04 2:34:58 AM GMT+3","Female","Single","Center","Saudi","N/A","Yes, grad","Inner reflection and solitude","Quiet and reflective","3: Agree","Single-sex work environment","3: Comfortable","3: Likely","3: Likely","","Against mixed-sex universities","- University is a comfortable place to most girls and the mixed-sex can be a uncomfortable. - It’s hard to understand each other from opposite genders sometimes that can effect the learning process "
"2020/12/04 9:59:17 AM GMT+3","Female","Single","Center","Saudi","N/A","Yes, undergrad","Going out with friends","Outgoing and talkative","4: Strongly agree","Mixed-sex work environment","2: Uncomfortable","3: Likely","3: Likely","","With mixed-sex universities","Having mixed universities offers a fair experience for men and women and access to all faculty members and the same quality of education "
"2020/12/04 12:05:43 PM GMT+3","Male","Single","Western","Saudi","N/A","Yes, undergrad","Inner reflection and solitude","Outgoing and talkative","4: Strongly agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","Against mixed-sex universities","1- university student tend to be immature 
2- I’m with partially mix
3- not applicable in very city yet "
"2020/12/04 7:13:38 PM GMT+3","Male","Single","Western","Abroad","N/A","Yes, undergrad","Inner reflection and solitude","Outgoing and talkative","3: Agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","Projects","Against mixed-sex universities","1- would greatly enhance opposite gender perception
2- raise awareness and respect for the female gender in saudi
3- saudi people are not read"
"2020/12/05 2:28:33 AM GMT+3","Female","Single","Eastern","Saudi","N/A","No, neither","Inner reflection and solitude","Quiet and reflective","4: Strongly agree","Mixed-sex work environment","1: Very uncomfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","Both genders can understand eachother more"
"2020/12/06 3:42:24 PM GMT+3","Male","Single","Western","Saudi","Abroad","No, neither","Inner reflection and solitude","Outgoing and talkative","3: Agree","Mixed-sex work environment","3: Comfortable","4: Highly likely","3: Likely","","With mixed-sex universities","That would remove the nuances resulted from the difference in gender
Unify and easier to standardize the knowledge provided for both genders
Job occupation would increase due to the eliminated restriction of gender."
"2020/12/06 3:48:40 PM GMT+3","Male","Single","Center","Abroad","N/A","Yes, undergrad","Inner reflection and solitude","Quiet and reflective","3: Agree","Mixed-sex work environment","3: Comfortable","3: Likely","3: Likely","Working with mixed gender groups for projects","With mixed-sex universities","Support it

More efficient
More reflective for workplace environment
Enhances communications skills "
"2020/12/06 3:49:08 PM GMT+3","Male","Single","Center","Saudi","N/A","No, neither","Going out with friends","Outgoing and talkative","2: Disagree","Single-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","Against mixed-sex universities","1- unfocus in the main important thing which is the knowledge. Be cautious more of what to say and what to do."
"2020/12/06 3:54:18 PM GMT+3","Male","Single","Center","Saudi","Abroad","Yes, grad","Inner reflection and solitude","Quiet and reflective","4: Strongly agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","The social norms","With mixed-sex universities","1) Utilize resources - 2) Get comfortable working with the opposite sex 3) Gain different perspectives.. However, I think it should be done with baby steps with a few universities at first   "
"2020/12/06 4:05:34 PM GMT+3","Male","Single","Eastern","Abroad","N/A","Yes, undergrad","Going out with friends","Outgoing and talkative","3: Agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","?","With mixed-sex universities","There’s no reason it shouldn’t be. "
"2020/12/06 4:14:54 PM GMT+3","Female","Single","Western","Saudi","N/A","No, neither","Inner reflection and solitude","Quiet and reflective","4: Strongly agree","Mixed-sex work environment","3: Comfortable","3: Likely","3: Likely","","With mixed-sex universities","I’m with it because: 
- It will establish proper work/communication behaviors  between genders, which will serve the work environment in the future"
"2020/12/06 4:15:02 PM GMT+3","Female","Single","Center","Saudi","N/A","Yes, undergrad","Inner reflection and solitude","Quiet and reflective","4: Strongly agree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","1) helps both genders learn how to communicate with eachother respectively 2) enhances networking 3) both genders can learn from eachother"
"2020/12/06 4:25:07 PM GMT+3","Male","Single","Center","Abroad","N/A","Yes, undergrad","Inner reflection and solitude","Outgoing and talkative","3: Agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","Gender separation creates many challenges that henders the development of the society! ","With mixed-sex universities","1- Implement appropriate laws and regulations to accommodate for the changes. In addition to online behavioral courses. ( even in the at my U.S University we had to take a mandatory course on a yearly basis). 
2- We are one of the very few countries that still separate genders
3- Not only universities, but most importantly at schools from kindergarten to 12th grade, but could probably be gradual development. ( Don't separate them from kindergarten, till they grow up)."
"2020/12/06 4:31:47 PM GMT+3","Female","Single","Center","Saudi","N/A","No, neither","Inner reflection and solitude","Quiet and reflective","3: Agree","Single-sex work environment","2: Uncomfortable","3: Likely","2: Unlikely","","Against mixed-sex universities","Maybe yes if schools were also mixed "
"2020/12/06 4:35:40 PM GMT+3","Female","Single","Center","Saudi","N/A","No, neither","Inner reflection and solitude","Quiet and reflective","3: Agree","Single-sex work environment","2: Uncomfortable","3: Likely","2: Unlikely","","Against mixed-sex universities","Maybe yes if schools were also mixed "
"2020/12/06 4:56:46 PM GMT+3","Male","Single","Western","Abroad","Abroad","Yes, both","Going out with friends","Quiet and reflective","3: Agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","Against mixed-sex universities","Young and not mature "
"2020/12/06 5:02:25 PM GMT+3","Male","Single","Center","","","","Inner reflection and solitude","Outgoing and talkative","2: Disagree","Single-sex work environment","3: Comfortable","3: Likely","3: Likely","","Against mixed-sex universities","Privacy, Competitiveness, Security"
"2020/12/06 5:20:25 PM GMT+3","Male","Single","Eastern","Abroad","N/A","Yes, undergrad","Going out with friends","Quiet and reflective","3: Agree","Mixed-sex work environment","2: Uncomfortable","3: Likely","3: Likely"," ","Against mixed-sex universities","1. I don’t think we should just because of natural human sexual drive. 2. But at the same time it would be great in terms of collaboration since different views are likely to be expressed. 3. I don’t think we should because it was kind of distracting to be honest. 

So in total I don’t think we should "
"2020/12/06 5:36:41 PM GMT+3","Female","Single","Center","Saudi","N/A","Yes, undergrad","Inner reflection and solitude","Quiet and reflective","4: Strongly agree","Mixed-sex work environment","3: Comfortable","3: Likely","3: Likely","","With mixed-sex universities","I’m with the idea of having that, but with certain guidelines. I’m with this idea because whatever your job is, most probably you’ll have to deal with someone of the opposite-sex, so it’s better to be comfortable in how to communicate with each other at a younger age."
"2020/12/06 5:59:58 PM GMT+3","Male","Single","Nothern","Saudi","N/A","Yes, both","Inner reflection and solitude","Outgoing and talkative","4: Strongly agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","I don’t care"
"2020/12/06 6:15:55 PM GMT+3","Female","Single","Western","Saudi","N/A","No, neither","Inner reflection and solitude","Quiet and reflective","4: Strongly agree","Mixed-sex work environment","3: Comfortable","3: Likely","3: Likely","","With mixed-sex universities","I’m with it because: 
- It will establish proper work/communication behaviors  between genders, which will serve the work environment in the future"
"2020/12/08 12:55:52 PM GMT+3","Female","Single","Center","Saudi","N/A","Yes, undergrad","Inner reflection and solitude","Quiet and reflective","4: Strongly agree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","1) helps both genders learn how to communicate with eachother respectively 2) enhances networking 3) both genders can learn from eachother"
"2020/12/09 11:31:58 AM GMT+3","Male","Single","Center","Saudi","N/A","Yes, undergrad","Inner reflection and solitude","Quiet and reflective","2: Disagree","Mixed-sex work environment","2: Uncomfortable","2: Unlikely","2: Unlikely","N/A","With mixed-sex universities","It offers more experience "
"2020/12/10 7:30:31 PM GMT+3","Female","Single","Western","Saudi","N/A","Yes, undergrad","Going out with friends","Quiet and reflective","4: Strongly agree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","The normal"
"2020/12/12 2:16:21 PM GMT+3","Male","Single","Center","","N/A","","Inner reflection and solitude","Outgoing and talkative","4: Strongly agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","Open mind, ice breaks and  better environment "
"2020/12/14 1:37:27 PM GMT+3","Male","Single","Center","Saudi","Saudi","No, neither","Inner reflection and solitude","Outgoing and talkative","3: Agree","Mixed-sex work environment","1: Very uncomfortable","2: Unlikely","1: Highly unlikely",".","Against mixed-sex universities","."
"2020/12/14 1:39:29 PM GMT+3","Female","Single","Center","Saudi","N/A","No, neither","Going out with friends","Quiet and reflective","4: Strongly agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","Helps to make things normal "
"2020/12/14 1:40:01 PM GMT+3","Male","Single","Western","Abroad","N/A","Yes, undergrad","Inner reflection and solitude","Outgoing and talkative","3: Agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","Against mixed-sex universities","1- it will promote growth and maturity for males and dealing with females 
2- it will start making both genders comfortable in dealing with each other in work and life
3- i dont think the majority of both genders are ready for it yet. "
"2020/12/14 1:42:59 PM GMT+3","Male","Single","Eastern","Abroad","N/A","Yes, undergrad","Going out with friends","Quiet and reflective","4: Strongly agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","Be more open"
"2020/12/14 1:46:08 PM GMT+3","Male","Single","Eastern","Abroad","N/A","Yes, undergrad","Going out with friends","Outgoing and talkative","3: Agree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","just human nature to interact with each other, segregated male/female creates and underlying issue in the long run"
"2020/12/14 1:47:31 PM GMT+3","Male","Single","Center","Saudi","N/A","Yes, undergrad","Inner reflection and solitude","Outgoing and talkative","2: Disagree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","I studied in a mixed university in saudi and my experience was great but as long as their are clear boundaries between students which is no longer the case in my university."
"2020/12/14 1:50:23 PM GMT+3","Male","Single","Western","Abroad","N/A","Yes, undergrad","Inner reflection and solitude","Quiet and reflective","1: Strongly disagree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","Should be done to prepare the youth for the ongoing transformation in the country "
"2020/12/14 1:54:19 PM GMT+3","Female","Married","Center","Saudi","N/A","Yes, undergrad","Inner reflection and solitude","Outgoing and talkative","3: Agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","Finding harmony in diversity. It should be the new normal."
"2020/12/14 1:55:28 PM GMT+3","Female","Single","Center","Saudi","N/A","No, neither","Going out with friends","Outgoing and talkative","3: Agree","Single-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","","Against mixed-sex universities","It wouldn’t let students focus on their studies. As well as, it does not fit with Islam’s terms"
"2020/12/14 1:58:24 PM GMT+3","Female","Single","Western","Abroad","N/A","Yes, undergrad","Inner reflection and solitude","Outgoing and talkative","4: Strongly agree","Mixed-sex work environment","2: Uncomfortable","3: Likely","3: Likely","","With mixed-sex universities","Human nature"
"2020/12/14 2:05:24 PM GMT+3","Male","Single","Center","Saudi","N/A","Yes, undergrad","Going out with friends","Outgoing and talkative","1: Strongly disagree","Single-sex work environment","4: Very comfortable","4: Highly likely","3: Likely","","Against mixed-sex universities","Pointless approach, and would enforce students to some undesired situations."
"2020/12/14 2:05:41 PM GMT+3","Male","Single","Center","Abroad","N/A","Yes, undergrad","Going out with friends","Quiet and reflective","4: Strongly agree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","NA","With mixed-sex universities","No specific opinions  "
"2020/12/14 2:06:15 PM GMT+3","Male","Single","Center","Saudi","N/A","Yes, undergrad","Going out with friends","Quiet and reflective","4: Strongly agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","N/A","With mixed-sex universities","."
"2020/12/14 2:18:40 PM GMT+3","Male","Single","Center","Saudi","N/A","No, neither","Inner reflection and solitude","Outgoing and talkative","2: Disagree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","Cost-efficiency
Same level of education and exposure
Better understand the opposite gender"
"2020/12/14 2:19:02 PM GMT+3","Male","Single","Western","Abroad","N/A","Yes, undergrad","Inner reflection and solitude","Outgoing and talkative","3: Agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","Against mixed-sex universities","1- it will promote growth and maturity for males and dealing with females 
2- it will start making both genders comfortable in dealing with each other in work and life
3- i dont think the majority of both genders are ready for it yet. "
"2020/12/14 2:24:04 PM GMT+3","Male","Single","Center","Abroad","N/A","Yes, undergrad","Going out with friends","Outgoing and talkative","2: Disagree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","I grew up with a house full of girls so I’m very comfortable with the other gender","With mixed-sex universities","Big yes"
"2020/12/14 2:26:41 PM GMT+3","Male","Single","Western","Saudi","N/A","No, neither","Inner reflection and solitude","Quiet and reflective","2: Disagree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","Because everyone deserve an opportunity "
"2020/12/14 2:30:44 PM GMT+3","Male","Single","Center","Abroad","Abroad","Yes, undergrad","Going out with friends","Outgoing and talkative","3: Agree","Mixed-sex work environment","4: Very comfortable","3: Likely","4: Highly likely","Ok","With mixed-sex universities","Ok "
"2020/12/14 2:41:07 PM GMT+3","Male","Single","Eastern","Abroad","Abroad","Yes, both","Inner reflection and solitude","Outgoing and talkative","4: Strongly agree","Mixed-sex work environment","3: Comfortable","4: Highly likely","3: Likely","","With mixed-sex universities","New ideas and different prospective "
"2020/12/14 2:48:18 PM GMT+3","Female","Single","Center","Abroad","Saudi","Yes, both","Inner reflection and solitude","Outgoing and talkative","4: Strongly agree","Mixed-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","Prepare students for work environments, easier integration into international experiences, better understanding of the opposite gender "
"2020/12/14 5:23:38 PM GMT+3","Male","Single","Western","Saudi","N/A","No, neither","Inner reflection and solitude","Quiet and reflective","2: Disagree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","Because everyone deserve an opportunity "
"2020/12/14 5:41:25 PM GMT+3","Male","Single","Center","Saudi","N/A","Yes, undergrad","Inner reflection and solitude","Outgoing and talkative","2: Disagree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","I studied in a mixed university in saudi and my experience was great but as long as their are clear boundaries between students which is no longer the case in my university."
"2020/12/14 7:21:38 PM GMT+3","Male","Single","Western","Saudi","N/A","No, neither","Inner reflection and solitude","Quiet and reflective","2: Disagree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","Because everyone deserve an opportunity "
"2020/12/15 12:18:42 AM GMT+3","Male","Single","Center","Abroad","N/A","Yes, undergrad","Going out with friends","Quiet and reflective","4: Strongly agree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","NA","With mixed-sex universities","No specific opinions  "
"2020/12/15 12:20:47 PM GMT+3","Male","Single","Center","Saudi","Saudi","No, neither","Inner reflection and solitude","Outgoing and talkative","3: Agree","Mixed-sex work environment","1: Very uncomfortable","2: Unlikely","1: Highly unlikely",".","Against mixed-sex universities","."
"2020/12/17 1:48:06 PM GMT+3","Female","Married","Eastern","Saudi","N/A","No, neither","Going out with friends","Outgoing and talkative","4: Strongly agree","Single-sex work environment","2: Uncomfortable","2: Unlikely","2: Unlikely","","Against mixed-sex universities","I am against because of social restrictions and awkwardness between genders."
"2020/12/17 1:50:29 PM GMT+3","Female","Married","Eastern","Saudi","Saudi","No, neither","Inner reflection and solitude","Quiet and reflective","1: Strongly disagree","Single-sex work environment","1: Very uncomfortable","1: Highly unlikely","1: Highly unlikely","N/A","Against mixed-sex universities","Against it.
- Might cause sexual problems.
- Disperse attention.
- Religious issue."
"2020/12/18 4:14:52 PM GMT+3","Male","Single","Eastern","Abroad","N/A","Yes, undergrad","Going out with friends","Outgoing and talkative","3: Agree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","just human nature to interact with each other, segregated male/female creates and underlying issue in the long run"
"2020/12/20 4:14:56 PM GMT+3","Male","Single","Center","Saudi","N/A","Yes, undergrad","Going out with friends","Outgoing and talkative","3: Agree","Single-sex work environment","4: Very comfortable","4: Highly likely","4: Highly likely","","Against mixed-sex universities","From my experience being in a mixed- sex university, I believe the disadvantages outweigh the advantages in many aspects of the learning process and environment."
"2020/12/21 11:06:58 PM GMT+3","Male","Single","Western","Abroad","N/A","Yes, undergrad","Going out with friends","Outgoing and talkative","3: Agree","Mixed-sex work environment","3: Comfortable","4: Highly likely","4: Highly likely","","With mixed-sex universities","It helps break the barrier that many end up facing in the workplace or if they travel. Mixing in a professional and decent manner shouldn’t be an issue."